"","Var1","Var2","value","Var1_response","Var2_response"
"98","137_decreasing_Acidobacteria_Subgroup_9","337_increasing_Acidobacteria_Subgroup_9",0.978571428571429,"decrea","increa"
"99","137_decreasing_Acidobacteria_Subgroup_9","498_increasing_Acidobacteria_Subgroup_9",0.971428571428571,"decrea","increa"
"103","144_decreasing_Acidobacteria_Subgroup_9","337_increasing_Acidobacteria_Subgroup_9",0.992857142857143,"decrea","increa"
"105","144_decreasing_Acidobacteria_Subgroup_9","498_increasing_Acidobacteria_Subgroup_9",0.985714285714286,"decrea","increa"
"225","264_decreasing_Acidobacteria_Subgroup_6","377_increasing_Acidobacteria_Subgroup_6",0.992857142857143,"decrea","increa"
"277","188_decreasing_Proteobacteria_Gammaproteobacteria","516_increasing_Proteobacteria_Gammaproteobacteria",0.971428571428571,"decrea","increa"
"360","213_decreasing_Gemmatimonadetes_BD2-11_terrestrial_group","242_increasing_Gemmatimonadetes_BD2-11_terrestrial_group",0.992857142857143,"decrea","increa"
"362","161_decreasing_Gemmatimonadetes_BD2-11_terrestrial_group","242_increasing_Gemmatimonadetes_BD2-11_terrestrial_group",0.985714285714286,"decrea","increa"
"365","165_decreasing_Gemmatimonadetes_BD2-11_terrestrial_group","242_increasing_Gemmatimonadetes_BD2-11_terrestrial_group",0.971428571428571,"decrea","increa"
"382","255_decreasing_Gemmatimonadetes_BD2-11_terrestrial_group","384_increasing_Gemmatimonadetes_BD2-11_terrestrial_group",0.978571428571429,"decrea","increa"
"390","296_decreasing_Gemmatimonadetes_BD2-11_terrestrial_group","366_increasing_Gemmatimonadetes_BD2-11_terrestrial_group",0.992857142857143,"decrea","increa"
